id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-04-29 17:37:09,"{""short_code"":""xAoedW"",""original_url"":""https://example.com/dawn/anchor/1""}"
2,2,270,created,2025-06-10 08:06:20,"{""short_code"":""fnPYP3"",""original_url"":""https://opswise.net/urban/yard/2""}"
3,3,290,created,2025-04-13 17:39:36,"{""short_code"":""7mHWmM"",""original_url"":""https://relay.cloud/harbor/meadow/3""}"
4,4,388,created,2025-01-31 00:39:33,"{""short_code"":""pLvv8H"",""original_url"":""https://acme.dev/navy/zenith/4""}"
5,5,245,created,2025-07-26 19:24:15,"{""short_code"":""u9lqVQ"",""original_url"":""https://seeded.app/ivory/yard/5""}"
6,6,106,created,2025-04-24 04:03:22,"{""short_code"":""jIvxwV"",""original_url"":""https://relay.cloud/ember/kernel/6""}"
7,7,266,created,2025-06-30 15:32:58,"{""short_code"":""VHAIJV"",""original_url"":""https://relay.cloud/gold/journey/7""}"
8,8,243,created,2025-02-19 06:46:56,"{""short_code"":""ZjzIHI"",""original_url"":""https://relay.cloud/warm/journey/8""}"
9,9,113,created,2025-05-20 00:01:31,"{""short_code"":""U2uwAA"",""original_url"":""https://acme.dev/brisk/signal/9""}"
10,10,76,created,2025-11-25 18:18:59,"{""short_code"":""u5FOAP"",""original_url"":""https://relay.cloud/keen/harvest/10""}"
11,11,247,created,2025-09-08 20:03:29,"{""short_code"":""Dpg5Kx"",""original_url"":""https://seeded.app/lively/field/11""}"
12,12,180,created,2025-10-24 12:58:39,"{""short_code"":""3NY4hp"",""original_url"":""https://example.com/silver/quartz/12""}"
13,13,156,created,2025-08-13 08:30:20,"{""short_code"":""1mlNQ1"",""original_url"":""https://relay.cloud/brisk/trail/13""}"
14,14,88,created,2025-03-07 19:09:59,"{""short_code"":""WhCKBB"",""original_url"":""https://example.com/opal/canyon/14""}"
15,15,67,created,2026-01-29 04:02:40,"{""short_code"":""6OOMQJ"",""original_url"":""https://relay.cloud/urban/river/15""}"
16,16,242,created,2025-07-15 12:17:29,"{""short_code"":""ZTpfnr"",""original_url"":""https://example.com/jade/trail/16""}"
17,17,389,created,2025-03-19 12:49:08,"{""short_code"":""xlYDJg"",""original_url"":""https://hackstack.io/brisk/window/17""}"
18,18,42,created,2025-03-11 17:50:22,"{""short_code"":""NgM99K"",""original_url"":""https://hackstack.io/quiet/anchor/18""}"
19,19,340,created,2025-12-13 12:34:57,"{""short_code"":""tRSPwD"",""original_url"":""https://acme.dev/lively/pioneer/19""}"
20,20,122,created,2025-07-17 04:53:16,"{""short_code"":""5R2jKf"",""original_url"":""https://opswise.net/jade/island/20""}"
21,21,64,created,2025-04-29 15:19:21,"{""short_code"":""DWg5jg"",""original_url"":""https://seeded.app/jade/beacon/21""}"
22,22,296,created,2026-02-07 12:22:52,"{""short_code"":""SSyNLf"",""original_url"":""https://opswise.net/harbor/anchor/22""}"
23,23,95,created,2025-03-11 08:19:06,"{""short_code"":""rZ4i8P"",""original_url"":""https://seeded.app/lively/engine/23""}"
24,24,285,created,2025-11-02 10:51:04,"{""short_code"":""VfeDxC"",""original_url"":""https://relay.cloud/proud/trail/24""}"
25,25,141,created,2025-02-08 01:47:11,"{""short_code"":""r7M139"",""original_url"":""https://relay.cloud/jade/meadow/25""}"
26,26,231,created,2025-08-12 13:27:18,"{""short_code"":""LaAp66"",""original_url"":""https://acme.dev/urban/journey/26""}"
27,27,210,created,2025-09-25 18:38:26,"{""short_code"":""qKE2vk"",""original_url"":""https://relay.cloud/tidy/beacon/27""}"
28,28,220,created,2025-06-22 08:24:13,"{""short_code"":""7Ouv3K"",""original_url"":""https://hackstack.io/ivory/garden/28""}"
29,29,290,created,2025-03-07 12:17:35,"{""short_code"":""keBqCo"",""original_url"":""https://seeded.app/mellow/garden/29""}"
30,30,399,created,2025-01-21 15:04:32,"{""short_code"":""YRFG96"",""original_url"":""https://example.com/opal/network/30""}"
31,31,201,created,2025-11-05 19:00:13,"{""short_code"":""ENYoUN"",""original_url"":""https://hackstack.io/keen/yard/31""}"
32,32,291,created,2025-03-18 19:40:56,"{""short_code"":""uHRJl4"",""original_url"":""https://example.com/ivory/canyon/32""}"
33,33,67,created,2025-04-19 10:01:55,"{""short_code"":""YdGyid"",""original_url"":""https://acme.dev/urban/island/33""}"
34,34,7,created,2025-11-04 14:06:55,"{""short_code"":""oGX68B"",""original_url"":""https://example.com/quiet/garden/34""}"
35,35,190,created,2025-04-16 20:03:18,"{""short_code"":""tqMPxE"",""original_url"":""https://opswise.net/rapid/garden/35""}"
36,36,158,created,2025-08-12 18:28:23,"{""short_code"":""QjOtiA"",""original_url"":""https://hackstack.io/young/island/36""}"
37,37,356,created,2026-01-24 16:44:42,"{""short_code"":""7haKCn"",""original_url"":""https://seeded.app/vivid/trail/37""}"
38,38,142,created,2025-02-10 12:19:04,"{""short_code"":""roVnVm"",""original_url"":""https://hackstack.io/clear/kernel/38""}"
39,39,78,created,2025-01-24 21:29:53,"{""short_code"":""qMJeDe"",""original_url"":""https://acme.dev/clear/canyon/39""}"
40,40,313,created,2025-05-22 21:21:13,"{""short_code"":""5PM9X8"",""original_url"":""https://example.com/keen/engine/40""}"
41,41,374,created,2025-10-28 07:20:40,"{""short_code"":""9ggR6S"",""original_url"":""https://relay.cloud/clear/delta/41""}"
